"","Company","Date200506","MCR200506","Capital200506","Surplus200506","SolRatio200506","Date200512","MCR200512","Capital200512","Surplus200512","SolRatio200512","Date200606","MCR200606","Capital200606","Surplus200606","SolRatio200606","Date200612","MCR200612","Capital200612","Surplus200612","SolRatio200612","Date200706","MCR200706","Capital200706","Surplus200706","SolRatio200706","Date200712","MCR200712","Capital200712","Surplus200712","SolRatio200712","Date200806","MCR200806","Capital200806","Surplus200806","SolRatio200806","Date200812","MCR200812","Capital200812","Surplus200812","SolRatio200812","Date200906","MCR200906","Capital200906","Surplus200906","SolRatio200906","Date200912","MCR200912","Capital200912","Surplus200912","SolRatio200912","Date201006","MCR201006","Capital201006","Surplus201006","SolRatio201006"
"15","ASPEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",34570,40180,5610,1.16,"31 Dec",34570,40180,5610,1.16,"31 Dec",46575,63950,17375,1.37,"31 Dec",46575,63950,17375,1.37
"16","ASSET","31 Dec",39943,85728,45785,2.15,"31 Dec",40624,90404,49780,2.23,"31 Dec",40624,90404,49780,2.23,"31 Dec",33018,75834,42816,2.3,"31 Dec",33018,75834,42816,2.3,"31 Dec",29939,77523,47584,2.59,"31 Dec",29939,77523,47584,2.59,"31 Dec",30998,57022,26024,1.84,"31 Dec",30998,57022,26024,1.84,"31 Dec",23364,47366,24002,2.03,"31 Dec",23364,47366,24002,2.03
"17","ATRADIUS","31 Dec",13235,22484,9249,1.7,"31 Dec",14453,17950,3497,1.24,"31 Dec",14453,17950,3497,1.24,"31 Dec",15623,22449,6826,1.44,"31 Dec",15623,22449,6826,1.44,"31 Dec",16998,28351,11353,1.67,"31 Dec",16998,28351,11353,1.67,"31 Dec",24048,39666,15618,1.65,"31 Dec",24048,39666,15618,1.65,"31 Dec",21280,34112,12832,1.6,"31 Dec",21280,34112,12832,1.6
"18","AUS ALLNCE","31 Dec",5000,17788,12788,3.56,"31 Dec",5000,17945,12945,3.59,"31 Dec",5000,17945,12945,3.59,"31 Dec",5926,18088,12162,3.05,"30 Jun",5926,18088,12162,3.05,"30 Jun",12855,18351,5496,1.43,"30 Jun",7075,18511,11436,2.62,"30 Jun",7075,18511,11436,2.62,"30 Jun",56989,120687,63698,2.12,"30 Jun",56989,120687,63698,2.12,"30 Jun",64481,118574,54093,1.84
"19","AUS FAMILY","31 Dec",2000,1412,-588,0.71,"31 Dec",2000,943,-1057,0.47,"31 Dec",2000,943,-1057,0.47,"31 Dec",2000,895,-1105,0.45,"31 Dec",2000,895,-1105,0.45,"31 Dec",2000,933,-1067,0.47,"31 Dec",2000,933,-1067,0.47,"31 Dec",2000,750,-1250,0.38,"31 Dec",2000,699,-1301,0.35,"31 Dec",NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA
"20","AUS INT","30 Jun",23511,44094,20583,1.88,"30 Jun",23511,44094,20583,1.88,"30 Jun",28803,55877,27074,1.94,"30 Jun",28803,55877,27074,1.94,"30 Jun",31725,60800,29075,1.92,"30 Jun",31725,60800,29075,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","AUS MED","30 Jun",94952,194878,99926,2.05,"30 Jun",94952,194878,99926,2.05,"30 Jun",93945,285527,191582,3.04,"30 Jun",93945,285527,191582,3.04,"30 Jun",100566,322749,222183,3.21,"30 Jun",100566,322749,222183,3.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","AUS UNITY","30 Jun",11773,20244,8471,1.72,"30 Jun",11773,20244,8471,1.72,"30 Jun",12840,21351,8511,1.66,"30 Jun",12840,21351,8511,1.66,"30 Jun",18208,37923,19715,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","AUTO GEN",NA,NA,NA,NA,NA,"30 Jun",NA,NA,NA,NA,"30 Jun",8320,12795,4475,1.54,"30 Jun",8320,12795,4475,1.54,"30 Jun",12134,16076,3942,1.32,"30 Jun",12134,16076,3942,1.32,"30 Jun",14836,22389,7553,1.51,"30 Jun",14836,22389,7553,1.51,"30 Jun",19762,29519,9757,1.49,"30 Jun",19762,29519,9757,1.49,"30 Jun",20581,40848,20267,1.98
"24","AVANT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",119962,398085,278123,3.32,"30 Jun",119962,398085,278123,3.32,"30 Jun",140162,377911,237749,2.7,"30 Jun",140162,377911,237749,2.7,"30 Jun",133091,465080,331989,3.49
"25","AVEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",8943,4602,-4341,0.51,"30 Jun",5000,4573,-427,0.91
"26","AXA","31 Dec",5000,30565,25565,6.11,"31 Dec",5000,33606,28606,6.72,"31 Dec",5000,33606,28606,6.72,"31 Dec",5000,32435,27435,6.49,"31 Dec",5000,32435,27435,6.49,"31 Dec",5000,32582,27582,6.52,"31 Dec",5000,32582,27582,6.52,"31 Dec",5000,32462,27462,6.49,"31 Dec",5000,32462,27462,6.49,"31 Dec",8600,35047,26447,4.08,"31 Dec",8600,35047,26447,4.08
"27","AXA CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",6556,29574,23018,4.51,"31 Dec",6556,29574,23018,4.51
"28","AXIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,"31 Dec",15629,27365,11736,1.75,"31 Dec",15629,27365,11736,1.75,"31 Dec",9315,22663,13348,2.43,"31 Dec",9315,22663,13348,2.43
"30","BARRISTERS","30 Jun",5000,11097,6097,2.22,"30 Jun",5000,11097,6097,2.22,"30 Jun",5000,12522,7522,2.5,"30 Jun",5000,12522,7522,2.5,"30 Jun",5000,13545,8545,2.71,"30 Jun",5000,13545,8545,2.71,"30 Jun",5000,13357,8357,2.67,"30 Jun",5000,13357,8357,2.67,"30 Jun",3209,12758,9549,3.98,"30 Jun",3209,12758,9549,3.98,"30 Jun",3110,13657,10547,4.39
"31","BERKLEY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",11499,47657,36158,4.14,"31 Dec",11499,47657,36158,4.14,"31 Dec",17766,49714,31948,2.8,"31 Dec",17766,49714,31948,2.8,"31 Dec",22605,50025,27420,2.21,"31 Dec",22605,50025,27420,2.21
"32","BHP MARINE","30 Jun",127680,339426,211746,2.66,"30 Jun",127680,339426,211746,2.66,"30 Jun",126984,347378,220394,2.74,"30 Jun",126984,347378,220394,2.74,"30 Jun",154395,403565,249170,2.61,"30 Jun",154395,403565,249170,2.61,"30 Jun",327307,408366,81059,1.25,"30 Jun",327307,408366,81059,1.25,"30 Jun",146561,511015,364454,3.49,"30 Jun",146561,511015,364454,3.49,"30 Jun",141792,542099,400307,3.82
"33","BORAL","30 Jun",5564,8405,2841,1.51,"30 Jun",5564,8405,2841,1.51,"30 Jun",4805,9293,4488,1.93,"30 Jun",4805,9293,4488,1.93,"30 Jun",2000,9920,7920,4.96,"30 Jun",2000,9920,7920,4.96,"30 Jun",2000,10682,8682,5.34,"30 Jun",2000,10682,8682,5.34,"30 Jun",2000,12913,10913,6.46,"30 Jun",2000,12913,10913,6.46,"30 Jun",2000,13279,11279,6.64
"34","BUDGET","30 Jun",8030,10225,2195,1.27,"30 Jun",8030,10225,2195,1.27,"30 Jun",5000,6740,1740,1.35,"30 Jun",5000,6740,1740,1.35,"30 Jun",5000,6526,1526,1.31,"30 Jun",5000,6526,1526,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","CALLI","31 Dec",NA,NA,NA,NA,"31 Dec",5000,44042,39042,8.81,"31 Dec",5000,44042,39042,8.81,"31 Dec",6240,41574,35334,6.66,"31 Dec",6240,41574,35334,6.66,"31 Dec",9129,40870,31741,4.48,"31 Dec",9129,40870,31741,4.48,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","CALLI GRP","31 Dec",5097,86735,81638,17.02,"31 Dec",2000,86541,84541,43.27,"31 Dec",16285,86541,70256,5.31,"31 Dec",12575,87568,74993,6.96,"31 Dec",12575,87568,74993,6.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","CATHOLIC","30 Jun",91176,174216,83040,1.91,"30 Jun",91176,174216,83040,1.91,"30 Jun",104034,224927,120893,2.16,"30 Jun",104034,224927,120893,2.16,"30 Jun",106730,272034,165304,2.55,"30 Jun",106730,272034,165304,2.55,"30 Jun",105742,283860,178118,2.68,"30 Jun",105742,283860,178118,2.68,"30 Jun",145117,251878,106761,1.74,"30 Jun",145117,251878,106761,1.74,"30 Jun",142957,292573,149616,2.05
"39","CAVELL","31 Dec",2000,10030,8030,5.02,"31 Dec",2000,9958,7958,4.98,"31 Dec",2000,9958,7958,4.98,"31 Dec",2000,1910,-90,0.96,"31 Dec",2000,1910,-90,0.96,"31 Dec",2000,10745,8745,5.37,"31 Dec",2000,10745,8745,5.37,"31 Dec",2000,10894,8894,5.45,"31 Dec",2000,10894,8894,5.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","CGU","30 Jun",558818,1137635,578817,2.04,"30 Jun",558818,1137635,578817,2.04,"30 Jun",536837,1031175,494338,1.92,"30 Jun",536837,1031175,494338,1.92,"30 Jun",544924,1040689,495765,1.91,"30 Jun",544924,1040689,495765,1.91,"30 Jun",496465,954394,457929,1.92,"30 Jun",496465,954394,457929,1.92,"30 Jun",592664,958371,365707,1.62,"30 Jun",592664,958371,365707,1.62,"30 Jun",599548,1093871,494323,1.82
"41","CGU VACC","30 Jun",15868,68447,52579,4.31,"30 Jun",15868,68447,52579,4.31,"30 Jun",12181,44221,32040,3.63,"30 Jun",12181,44221,32040,3.63,"30 Jun",5290,16163,10873,3.06,"30 Jun",5290,16163,10873,3.06,"30 Jun",5000,13938,8938,2.79,"30 Jun",5000,13938,8938,2.79,"30 Jun",5000,12943,7943,2.59,"30 Jun",5000,12943,7943,2.59,"30 Jun",5000,13984,8984,2.8
"42","CHUBB","31 Dec",74788,196773,121985,2.63,"31 Dec",84791,237753,152962,2.8,"31 Dec",84791,237753,152962,2.8,"31 Dec",94680,253292,158612,2.68,"31 Dec",94680,253292,158612,2.68,"31 Dec",101730,265983,164253,2.61,"31 Dec",101730,265983,164253,2.61,"31 Dec",115841,370403,254562,3.2,"31 Dec",115841,370403,254562,3.2,"31 Dec",136041,355011,218970,2.61,"31 Dec",136041,355011,218970,2.61
"43","CHURCH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",5000,7252,2252,1.45,"31 Dec",5000,7497,2497,1.5,"31 Dec",5000,7497,2497,1.5,"31 Dec",5000,7566,2566,1.51,"31 Dec",5000,7566,2566,1.51
"44","CIC","31 Dec",5000,9641,4641,1.93,"31 Dec",5000,10146,5146,2.03,"31 Dec",5000,10146,5146,2.03,"31 Dec",5000,10581,5581,2.12,"31 Dec",5000,10581,5581,2.12,"31 Dec",5000,11272,6272,2.25,"31 Dec",5000,11272,6272,2.25,"31 Dec",5000,12042,7042,2.41,"31 Dec",5000,12042,7042,2.41,"31 Dec",11978,16556,4578,1.38,"31 Dec",11978,16556,4578,1.38
"45","CIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",18208,37923,19715,2.08,"31 Dec",17100,30725,13625,1.8,"31 Dec",20181,48433,28252,2.4,"31 Dec",20181,48433,28252,2.4,"31 Dec",22673,47707,25034,2.1,"31 Dec",22673,47707,25034,2.1
"46","COFACE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",25062,23110,-1952,0.92,"31 Dec",25062,23110,-1952,0.92,"31 Dec",5000,21051,16051,4.21,"31 Dec",5000,21051,16051,4.21
"47","COL PROT","30 Jun",5000,6770,1770,1.35,"30 Jun",5000,6770,1770,1.35,"30 Jun",5000,6818,1818,1.36,"30 Jun",5000,6818,1818,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","COLOGNE RE","31 Dec",22510,73087,50577,3.25,"31 Dec",14825,121463,106638,8.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",13749,133226,119477,9.69,"31 Dec",15033,54218,39185,3.61,"31 Dec",15033,54218,39185,3.61,"31 Dec",14621,67136,52515,4.59,"31 Dec",14621,67136,52515,4.59,"31 Dec",10544,84678,74134,8.03,"31 Dec",10544,84678,74134,8.03
"49","COM INSUR","30 Jun",33293,54478,21185,1.64,"30 Jun",33293,54478,21185,1.64,"30 Jun",37461,61518,24057,1.64,"30 Jun",37461,61518,24057,1.64,NA,NA,NA,NA,NA,"30 Jun",39169,51695,12526,1.32,"30 Jun",51718,73082,21364,1.41,NA,NA,NA,NA,NA,"30 Jun",60996,95204,34208,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","COM STEAM","30 Jun",2000,2537,537,1.27,"30 Jun",2000,2537,537,1.27,"30 Jun",2000,2333,333,1.17,"30 Jun",2000,2333,333,1.17,"30 Jun",2000,4163,2163,2.08,NA,NA,NA,NA,NA,"30 Jun",2000,4187,2187,2.09,"30 Jun",2000,4187,2187,2.09,NA,NA,NA,NA,NA,"30 Jun",2000,4201,2201,2.1,"30 Jun",2000,4215,2215,2.11
"51","COMBINED","31 Dec",9015,82186,73171,9.12,"31 Dec",8917,78721,69804,8.83,"31 Dec",8917,78721,69804,8.83,"31 Dec",9745,63628,53883,6.53,"31 Dec",9745,63628,53883,6.53,"31 Dec",8931,41111,32180,4.6,NA,NA,NA,NA,NA,"31 Dec",7197,73620,66423,10.23,"31 Dec",7197,73620,66423,10.23,"31 Dec",7024,49315,42291,7.02,"31 Dec",7024,49315,42291,7.02
"52","CONVER","31 Dec",28335,77897,49562,2.75,"31 Dec",21568,92233,70665,4.28,"31 Dec",21568,92233,70665,4.28,"31 Dec",20090,101463,81373,5.05,"31 Dec",20090,101463,81373,5.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","COPENHAGEN","31 Dec",6697,44961,38264,6.71,"31 Dec",5345,46777,41432,8.75,"31 Dec",5345,46777,41432,8.75,"31 Dec",5000,51496,46496,10.3,"31 Dec",5000,51496,46496,10.3,"31 Dec",5000,22466,17466,4.49,"31 Dec",5000,22466,17466,4.49,"31 Dec",5000,15648,10648,3.13,"31 Dec",5000,15648,10648,3.13,"31 Dec",5000,14950,9950,2.99,"31 Dec",5000,14950,9950,2.99
"54","CORRVAS","30 Jun",5000,13402,8402,2.68,"30 Jun",5000,13402,8402,2.68,"30 Jun",5000,14011,9011,2.8,"30 Jun",5000,14011,9011,2.8,"30 Jun",5000,13174,8174,2.63,"30 Jun",5000,13174,8174,2.63,"30 Jun",5000,13113,8113,2.62,"30 Jun",5000,13113,8113,2.62,"30 Jun",3656,13049,9393,3.57,"30 Jun",2808,14479,11671,5.16,"30 Jun",5129,13929,8800,2.72
"55","CREDICORP","30 Jun",5000,6735,1735,1.35,"30 Jun",5000,6735,1735,1.35,"30 Jun",5000,6955,1955,1.39,"30 Jun",5000,6955,1955,1.39,"30 Jun",5000,6274,1274,1.25,"30 Jun",5000,6274,1274,1.25,"30 Jun",5000,6524,1524,1.3,"30 Jun",5000,6524,1524,1.3,"30 Jun",5000,6472,1472,1.29,"30 Jun",5000,6472,1472,1.29,"30 Jun",5000,6613,1613,1.32
"56","CUMIS","31 Dec",8462,32657,24195,3.86,"31 Dec",24444,41787,17343,1.71,"31 Dec",24444,41787,17343,1.71,"31 Dec",23389,46880,23491,2,"31 Dec",23389,46880,23491,2,"31 Dec",28282,56357,28075,1.99,"31 Dec",28282,56357,28075,1.99,"31 Dec",16862,66689,49827,3.95,"31 Dec",16862,66689,49827,3.95,"31 Dec",18188,38555,20367,2.12,"31 Dec",18188,38555,20367,2.12
"57","CURASALUS","30 Sep",44464,50714,6250,1.14,"30 Sep",71010,87698,16688,1.24,"30 Sep",71010,87698,16688,1.24,"30 Sep",58288,95972,37684,1.65,"30 Sep",58288,95972,37684,1.65,"30 Sep",77482,107281,29799,1.38,"30 Sep",77482,107281,29799,1.38,"30 Sep",57782,77653,19871,1.34,"30 Sep",57782,77653,19871,1.34,"30 Sep",62495,79912,17417,1.28,"30 Sep",62495,79912,17417,1.28
"59","DOMESTIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Mar",5000,7745,2745,1.55,"31 Mar",5000,7745,2745,1.55,"31 Mar",5000,8066,3066,1.61,"31 Mar",5000,8066,3066,1.61,"31 Mar",5000,7429,2429,1.49
"61","EIG ANSVAR","31 Dec",20231,49564,29333,2.45,"31 Dec",22793,61211,38418,2.69,"31 Dec",22828,60715,37887,2.66,"31 Dec",24752,70277,45525,2.84,"31 Dec",24752,70277,45525,2.84,"31 Dec",28646,69808,41162,2.44,"31 Dec",28646,69808,41162,2.44,"31 Dec",32332,72079,39747,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","ELDERS","30 Jun",29916,67661,37745,2.26,"30 Jun",29916,67661,37745,2.26,"30 Jun",34041,77003,42962,2.26,"30 Jun",34041,77003,42962,2.26,"30 Jun",33926,65075,31149,1.92,"30 Jun",33926,65075,31149,1.92,"30 Jun",39634,73427,33793,1.85,"30 Sep",39634,73427,33793,1.85,"30 Jun",49552,94715,45163,1.91,"31 Dec",48860,110916,62056,2.27,"31 Dec",48860,110916,62056,2.27
"63","EMPLOY MUT","30 Jun",7915,45026,37111,5.69,"30 Jun",7915,45026,37111,5.69,"30 Jun",8736,52505,43769,6.01,"30 Jun",8736,52505,43769,6.01,"30 Jun",10487,72716,62229,6.93,"30 Jun",10487,72716,62229,6.93,"30 Jun",10134,66355,56221,6.55,"30 Jun",10134,66355,56221,6.55,"30 Jun",12334,70280,57945,5.7,"30 Jun",12334,70280,57945,5.7,"30 Jun",13428,75366,61938,5.61
"64","EMPLOY RE","31 Dec",112281,292249,179968,2.6,"31 Dec",124643,339191,214548,2.72,"31 Dec",124643,339191,214548,2.72,"31 Dec",95691,348558,252867,3.64,"31 Dec",95691,348558,252867,3.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","FARM MIL","31 Mar",5000,17279,12279,3.46,"31 Mar",5000,17279,12279,3.46,"31 Mar",6580,10219,3639,1.55,"31 Mar",6580,10219,3639,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","FIRST AM","31 Dec",5000,5550,550,1.11,"31 Dec",5000,6985,1985,1.4,"31 Dec",5000,6985,1985,1.4,"31 Dec",5000,7953,2953,1.59,"31 Dec",5000,7953,2953,1.59,"31 Dec",5000,9684,4684,1.94,"31 Dec",5000,9684,4684,1.94,"31 Dec",5000,8705,3705,1.74,"31 Dec",5000,8705,3705,1.74,"31 Dec",5000,8258,3258,1.65,"31 Dec",5000,8258,3258,1.65
