"","CityCode","State","City","PopExpo","PopPrem","PopClaimRob","PopClaimColl","PopClaimFire","PopClaimOther","LuxExpo","LuxPrem","LuxClaimRob","LuxClaimColl","LuxClaimFire","LuxClaimOther","HDIcity00","CityDens10","StateAb"
"410570",410570,"Parana","Clevelandia",22.65,13270.89,0,11,0,1,5.18,5259.64,0,2,0,0,0.73,11570,"PR"
"410580",410580,"Parana","Colombo",505.32,414374.69,3,61,0,4,31.86,57501.33,0,3,0,0,0.76,146445,"PR"
"410590",410590,"Parana","Colorado",42.76,29474.13,0,7,0,0,7.19,9299.92,0,1,0,1,0.78,16976,"PR"
"410600",410600,"Parana","Congonhinhas",8.77,5597.17,0,2,0,0,1.32,2099.92,0,0,0,0,0.69,5826,"PR"
"410610",410610,"Parana","Conselheiro Mairinck",3.15,1898.83,0,0,0,0,0.43,813.34,0,0,0,0,0.7,2585,"PR"
"410620",410620,"Parana","Contenda",28.63,17687.63,0,5,0,2,1.23,1397.87,0,1,0,0,0.76,11162,"PR"
"410630",410630,"Parana","Corbelia",22.38,17597.41,0,9,0,1,1.97,2993.9,0,1,0,1,0.76,11748,"PR"
"410640",410640,"Parana","Cornelio Procopio",96.38,62075.65,0,10,0,0,15.94,18818.65,0,1,0,0,0.79,35458,"PR"
"410645",410645,"Parana","Coronel Domingos Soares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,4578,"PR"
"410650",410650,"Parana","Coronel Vivida",77.99,50247.03,0,16,0,1,16.44,21201.24,0,3,0,2,0.77,15441,"PR"
"410655",410655,"Parana","Corumbatai Do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,2822,"PR"
"410680",410680,"Parana","Cruz Machado",4.85,3552.61,0,0,0,0,1.61,2575.7,0,0,0,0,0.71,12119,"PR"
"410657",410657,"Parana","Cruzeiro Do Iguacu",3.71,2594.54,0,0,0,0,0.83,1161.47,0,0,0,0,0.73,2959,"PR"
"410660",410660,"Parana","Cruzeiro Do Oeste",26.73,19049.64,1,3,0,0,6.85,10432.59,0,3,0,0,0.75,15116,"PR"
"410670",410670,"Parana","Cruzeiro Do Sul",4.1,2378.09,0,0,0,0,0.32,513.62,0,0,0,0,0.75,3342,"PR"
"410685",410685,"Parana","Cruzmaltina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,2320,"PR"
"410690",410690,"Parana","Curitiba",8417.96,7057868.44,103,838,0,195,1875.04,2989354.15,38,149,0,63,0.85,1329908,"PR"
"410700",410700,"Parana","Curiuva",14.64,8907.5,0,3,0,1,1.23,2553.9,0,0,0,0,0.67,9656,"PR"
"410715",410715,"Parana","Diamante D'oeste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,3391,"PR"
"410710",410710,"Parana","Diamante Do Norte",8.24,5178.84,0,0,0,0,2.27,2331.17,0,1,0,0,0.73,3993,"PR"
"410712",410712,"Parana","Diamante Do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,2222,"PR"
"410720",410720,"Parana","Dois Vizinhos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,26109,"PR"
"410725",410725,"Parana","Douradina",14.41,8651.74,0,1,0,0,4.96,6748.08,0,2,0,0,0.74,5569,"PR"
"410730",410730,"Parana","Doutor Camargo",5.86,3753.82,0,0,0,1,1.48,2121.41,0,1,0,0,0.76,4502,"PR"
"412863",412863,"Parana","Doutor Ulysses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,3563,"PR"
"410740",410740,"Parana","Eneas Marques",13.47,8982.85,0,0,0,0,2.58,3301.54,0,1,0,0,0.78,4323,"PR"
"410750",410750,"Parana","Engenheiro Beltrao",14.07,8023.41,0,1,0,0,4.41,5828.4,0,0,0,0,0.76,10161,"PR"
"410753",410753,"Parana","Entre Rios Do Oeste",7.35,5430.31,0,1,0,0,0.99,1241.83,0,0,0,0,0.84,2917,"PR"
"410752",410752,"Parana","Esperanca Nova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,1478,"PR"
"410754",410754,"Parana","Espigao Alto Do Iguacu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,3073,"PR"
"410755",410755,"Parana","Farol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2404,"PR"
"410760",410760,"Parana","Faxinal",18.78,13571.05,0,0,0,0,2.88,3296.2,0,0,0,0,0.73,11553,"PR"
"410765",410765,"Parana","Fazenda Rio Grande",116.73,89638.26,0,19,0,1,10.36,16259.18,0,0,0,0,0.76,54473,"PR"
"410770",410770,"Parana","Fenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,3490,"PR"
"410773",410773,"Parana","Fernandes Pinheiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,3924,"PR"
"410775",410775,"Parana","Figueira",10.69,7486.02,0,0,0,0,1.09,1267.92,0,0,0,0,0.71,5831,"PR"
"410785",410785,"Parana","Flor Da Serra Do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,3217,"PR"
"410780",410780,"Parana","Florai",7.8,4580.39,0,0,0,0,0.04,59.01,0,0,0,0,0.77,3932,"PR"
"410790",410790,"Parana","Floresta",9.17,6265.9,0,0,0,0,1.89,2086.35,0,0,0,0,0.77,4486,"PR"
"410800",410800,"Parana","Florestopolis",4.15,2862.06,0,0,0,0,1.27,1579.34,0,0,0,0,0.72,8034,"PR"
"410810",410810,"Parana","Florida",3.43,2125.64,0,0,0,0,0.5,868.14,0,0,0,0,0.77,1882,"PR"
"410820",410820,"Parana","Formosa Do Oeste",12.06,7831.61,0,3,0,0,1.95,2740.53,0,2,0,0,0.78,5805,"PR"
"410830",410830,"Parana","Foz Do Iguacu",318.52,303513.22,1,47,0,2,116.13,206166.39,2,5,0,0,0.78,175538,"PR"
"410845",410845,"Parana","Foz Do Jordao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,3399,"PR"
"410832",410832,"Parana","Francisco Alves",6.67,5241.08,0,2,0,0,1.41,1132.08,0,0,0,0,0.73,4555,"PR"
"410840",410840,"Parana","Francisco Beltrao",155.95,104887.22,0,24,0,0,40.67,48607.45,0,2,0,0,0.79,57692,"PR"
"410850",410850,"Parana","General Carneiro",7.05,5492.5,0,1,0,0,0.5,809.9,0,0,0,0,0.71,8625,"PR"
"410855",410855,"Parana","Godoy Moreira",3.41,2103.53,0,1,0,0,0.56,1035.56,0,0,0,0,0.67,2404,"PR"
"410860",410860,"Parana","Goioere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,21100,"PR"
"410865",410865,"Parana","Goioxim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,4706,"PR"
"410870",410870,"Parana","Grandes Rios",7.37,4867.54,0,1,0,0,0.5,376.99,0,0,0,0,0.69,4609,"PR"
"410880",410880,"Parana","Guaira",48.1,38916.82,0,2,0,0,24.91,40008.69,0,3,0,0,0.77,21786,"PR"
"410890",410890,"Parana","Guairaca",8.16,5569.14,0,0,0,0,1,1708.38,0,0,0,0,0.7,4429,"PR"
"410895",410895,"Parana","Guamiranga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,5465,"PR"
"410900",410900,"Parana","Guapirama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,2751,"PR"
"410910",410910,"Parana","Guaporema",0.81,550.65,0,0,0,0,0.29,533.24,0,0,0,0,0.72,1621,"PR"
"410920",410920,"Parana","Guaraci",6.95,4386.21,0,2,0,0,0.45,892.54,0,0,0,0,0.73,3730,"PR"
"410930",410930,"Parana","Guaraniacu",16.14,12040.32,0,0,0,0,4.21,5435.29,0,1,0,0,0.72,10029,"PR"
"410940",410940,"Parana","Guarapuava",235.84,162919.49,1,27,0,1,80.15,107061.75,0,8,0,0,0.77,115719,"PR"
"410950",410950,"Parana","Guaraquecaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,5143,"PR"
"410960",410960,"Parana","Guaratuba",47.53,33881.18,0,8,0,0,5.06,8796.67,0,0,0,1,0.76,22185,"PR"
"410965",410965,"Parana","Honorio Serpa",5.32,3885.01,0,0,0,0,0.89,1371.75,0,0,0,0,0.71,3865,"PR"
"410970",410970,"Parana","Ibaiti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,20405,"PR"
"410975",410975,"Parana","Ibema",3.47,2788.98,0,2,0,0,0.68,654.25,0,0,0,0,0.72,4098,"PR"
"410980",410980,"Parana","Ibipora",107.33,72605.03,3,8,0,2,10.1,12525.07,0,0,0,0,0.8,35438,"PR"
"410990",410990,"Parana","Icaraima",13.58,7763.59,0,0,0,0,0.42,620.5,0,0,0,0,0.74,6318,"PR"
"411000",411000,"Parana","Iguaracu",9.79,7332.04,0,3,0,0,1.04,1434.15,0,0,0,0,0.74,2940,"PR"
"411005",411005,"Parana","Iguatu",0.68,673.19,0,1,0,0,0.55,673.81,0,0,0,0,0.7,1612,"PR"
"411007",411007,"Parana","Imbau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,7491,"PR"
"411010",411010,"Parana","Imbituva",31.07,22522.27,0,2,0,0,5.03,9559.87,0,0,0,0,0.72,19396,"PR"
"411020",411020,"Parana","Inacio Martins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,6861,"PR"
"411030",411030,"Parana","Inaja",1.01,755.17,0,0,0,0,2.57,3395.62,0,0,0,0,0.72,2131,"PR"
"411040",411040,"Parana","Indianopolis",4,2215.29,0,0,0,0,1.17,3045.67,0,0,0,0,0.74,3202,"PR"
"411050",411050,"Parana","Ipiranga",8.68,5181.54,0,0,0,0,0.9,1171.04,0,0,0,0,0.72,9489,"PR"
"411060",411060,"Parana","Ipora",15.67,10616.25,0,1,0,0,5.47,6991.61,0,0,0,0,0.75,10898,"PR"
"411065",411065,"Parana","Iracema Do Oeste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1889,"PR"
"411070",411070,"Parana","Irati",77.96,57856.01,0,9,0,0,19.33,26199.93,0,2,0,0,0.74,40620,"PR"
"411080",411080,"Parana","Iretama",7.64,5582.06,0,1,0,0,1.73,1986.55,0,0,0,0,0.69,7355,"PR"
"411090",411090,"Parana","Itaguaje",4.54,2735.03,0,1,0,1,0.63,867.62,0,0,0,0,0.72,3200,"PR"
"411095",411095,"Parana","Itaipulandia",5.06,5198.49,0,2,0,0,2.99,4698.38,0,0,0,0,0.76,6503,"PR"
"411100",411100,"Parana","Itambaraca",5.29,3506.42,0,0,0,0,0.47,570.04,0,0,0,0,0.71,4867,"PR"
"411110",411110,"Parana","Itambe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,4453,"PR"
"411120",411120,"Parana","Itapejara D'oeste",28.28,18219.74,1,6,0,1,5.54,7778.49,0,0,0,4,0.78,7673,"PR"
"411125",411125,"Parana","Itaperucu",17.33,13310.2,0,2,0,0,1.17,2450.92,0,0,0,1,0.67,15447,"PR"
"411130",411130,"Parana","Itauna Do Sul",5.9,3624.3,0,0,0,0,0.98,743.6,0,0,0,0,0.7,2461,"PR"
"411140",411140,"Parana","Ivai",10.14,6082.48,0,0,0,0,0.48,413.92,0,0,0,0,0.7,8649,"PR"
"411150",411150,"Parana","Ivaipora",70.26,45848.4,0,8,0,0,14.88,20044.75,0,2,0,0,0.76,23374,"PR"
"411155",411155,"Parana","Ivate",7.69,4697.5,0,1,0,0,1.51,2101.84,0,0,0,0,0.75,5482,"PR"
"411160",411160,"Parana","Ivatuba",3.89,2474.14,0,1,0,0,1.32,2125.81,0,1,0,0,0.76,2055,"PR"
"411170",411170,"Parana","Jaboti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,3551,"PR"
"411180",411180,"Parana","Jacarezinho",70.86,47466.01,0,6,0,0,16.23,21043.1,0,1,0,0,0.78,28019,"PR"
"411190",411190,"Parana","Jaguapita",9.92,6015.53,0,0,0,0,2.29,2431.07,0,0,0,0,0.76,9036,"PR"
"411200",411200,"Parana","Jaguariaiva",60.82,42932.18,0,3,0,1,9.38,16799.08,0,1,0,0,0.75,22208,"PR"
"411210",411210,"Parana","Jandaia Do Sul",45.75,30474.01,0,4,0,0,16.06,17320.67,0,4,0,0,0.78,15208,"PR"
"411220",411220,"Parana","Janiopolis",8.95,6222.83,0,2,0,0,0.97,1353.04,0,0,0,0,0.69,4698,"PR"
"411230",411230,"Parana","Japira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,3453,"PR"
"411240",411240,"Parana","Japura",20.14,13668.01,1,5,0,0,2.87,3581.43,0,2,0,0,0.75,6506,"PR"
"411250",411250,"Parana","Jardim Alegre",10.61,6321.6,0,1,0,0,0.16,147.31,0,0,0,0,0.71,8818,"PR"
"411260",411260,"Parana","Jardim Olinda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,992,"PR"
"411270",411270,"Parana","Jataizinho",21.27,16376.74,0,2,0,0,3.81,7196.71,0,0,0,0,0.73,8220,"PR"
"411275",411275,"Parana","Jesuitas",11.16,7579.72,1,0,0,0,2.11,3030.47,0,1,0,0,0.76,6760,"PR"
"411280",411280,"Parana","Joaquim Tavora",0.5,215.04,0,0,0,0,0.5,1155.93,0,0,0,0,0.75,7908,"PR"
"411290",411290,"Parana","Jundiai Do Sul",6.12,2970.9,0,0,0,0,0.46,772.96,0,1,0,0,0.72,2408,"PR"
"411295",411295,"Parana","Juranda",6.13,3653.66,0,0,0,0,2.35,2976.15,0,0,0,0,0.73,5538,"PR"
"411300",411300,"Parana","Jussara",6.75,3784.48,0,0,0,0,2.03,1874.66,0,0,0,0,0.76,4801,"PR"
"411310",411310,"Parana","Kalore",6.9,4186.88,0,0,0,0,0.56,372.56,0,0,0,0,0.75,3435,"PR"
"411320",411320,"Parana","Lapa",72.12,44001.78,0,6,0,1,9.3,9953.18,0,1,0,0,0.75,31826,"PR"
"411325",411325,"Parana","Laranjal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,3829,"PR"
"411330",411330,"Parana","Laranjeiras Do Sul",51.53,40947.71,0,4,0,0,9.94,17109.78,0,1,0,0,0.75,21113,"PR"
"411340",411340,"Parana","Leopolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,3041,"PR"
"411342",411342,"Parana","Lidianopolis",3.52,2477.26,0,0,0,0,0.00821917783,5.98,0,0,0,0,0.73,2939,"PR"
"411345",411345,"Parana","Lindoeste",3.69,3163.52,0,0,0,0,0.5,512.78,0,0,0,0,0.71,3676,"PR"
"411350",411350,"Parana","Loanda",34.65,25395.58,0,4,0,1,16.3,24228.08,0,4,0,0,0.77,15480,"PR"
"411360",411360,"Parana","Lobato",12.38,9193.65,0,4,0,0,3.18,4101.46,0,2,0,0,0.79,3257,"PR"
"411370",411370,"Parana","Londrina",1829.94,1248544.25,12,210,0,54,400.26,554898.85,6,39,0,11,0.82,380299,"PR"
"411373",411373,"Parana","Luiziana",4.9,2614.88,0,0,0,0,1.13,1217.35,0,0,0,0,0.7,5027,"PR"
"411375",411375,"Parana","Lunardelli",1.64,1109.71,0,0,0,0,0.48,325.48,0,0,0,0,0.69,3729,"PR"
"411380",411380,"Parana","Lupionopolis",4.31,3649,0,0,0,0,0.5,176.59,0,0,0,0,0.72,3381,"PR"
"411390",411390,"Parana","Mallet",3.47,2119.95,0,0,0,0,1.27,1763.3,0,0,0,0,0.76,9362,"PR"
"411400",411400,"Parana","Mambore",14.78,9704.05,0,1,0,0,1.77,2294.6,0,0,0,0,0.74,9978,"PR"
"411410",411410,"Parana","Mandaguacu",29.63,18280.09,0,3,0,0,6.31,7942.62,0,0,0,0,0.76,14523,"PR"
"411420",411420,"Parana","Mandaguari",47.76,30643.28,0,6,0,0,8.61,9204.97,0,0,0,0,0.79,24411,"PR"
"411430",411430,"Parana","Mandirituba",29.63,21180.01,1,1,0,2,3.35,4368.63,0,0,0,0,0.76,15301,"PR"
"411435",411435,"Parana","Manfrinopolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,2064,"PR"
"411440",411440,"Parana","Mangueirinha",19.22,14031.73,0,1,0,0,1.28,1853.61,0,0,0,0,0.75,11205,"PR"
"411450",411450,"Parana","Manoel Ribas",17.28,13710.51,0,1,0,0,4.04,5115.98,0,0,0,0,0.72,8999,"PR"
"411460",411460,"Parana","Marechal Candido Rondon",76.12,54179.17,0,9,0,0,24.69,34729.87,0,4,0,1,0.82,35194,"PR"
"411470",411470,"Parana","Maria Helena",6.3,3358.65,0,0,0,0,2.12,4788.27,0,0,0,0,0.7,4401,"PR"
"411480",411480,"Parana","Marialva",66.75,47712.39,0,10,0,0,10.64,13548.64,0,1,0,0,0.78,23941,"PR"
"411490",411490,"Parana","Marilandia Do Sul",12.38,7480.35,0,2,0,0,0.55,554.21,0,0,0,0,0.73,6311,"PR"
