"","Company","Date200506","GWP200506","RE200506","NWP200506","GIC200506","NRR200506","RR200506","NIC200506","UWE200506","UWR200506","II200506","OI200506","NPAT200506","Date200512","GWP200512","RE200512","NWP200512","GIC200512","NRR200512","RR200512","NIC200512","UWE200512","UWR200512","II200512","OI200512","NPAT200512","Date200606","GWP200606","RE200606","NWP200606","GIC200606","NRR200606","RR200606","NIC200606","UWE200606","UWR200606","II200606","OI200606","NPAT200606","Date200612","GWP200612","RE200612","NWP200612","GIC200612","NRR200612","RR200612","NIC200612","UWE200612","UWR200612","II200612","OI200612","NPAT200612","Date200706","GWP200706","RE200706","NWP200706","GIC200706","NRR200706","RR200706","NIC200706","UWE200706","UWR200706","II200706","OI200706","NPAT200706","Date200712","GWP200712","RE200712","NWP200712","GIC200712","NRR200712","RR200712","NIC200712","UWE200712","UWR200712","II200712","OI200712","NPAT200712","Date200806","GWP200806","RE200806","NWP200806","GIC200806","NRR200806","RR200806","NIC200806","UWE200806","UWR200806","II200806","OI200806","NPAT200806","Date200812","GWP200812","RE200812","NWP200812","GIC200812","NRR200812","RR200812","NIC200812","UWE200812","UWR200812","II200812","OI200812","NPAT200812","Date200906","GWP200906","RE200906","NWP200906","GIC200906","NRR200906","RR200906","NIC200906","UWE200906","UWR200906","II200906","OI200906","NPAT200906","Date200912","GWP200912","RE200912","NWP200912","GIC200912","NRR200912","RR200912","NIC200912","UWE200912","UWR200912","II200912","OI200912","NPAT200912","Date201006","GWP201006","RE201006","NWP201006","GIC201006","NRR201006","RR201006","NIC201006","UWE201006","UWR201006","II201006","OI201006","NPAT201006"
"11","AMPG","31 Dec",0,0,0,-313,0,-60,-253,9,244,1237,-749,732,"31 Dec",0,0,0,-272,0,6,-278,0,278,1497,-662,1113,"31 Dec",0,0,0,-272,0,6,-278,0,278,1497,-662,1113,"31 Dec",0,0,0,-75,-13,-1,-61,0,61,495,-244,312,"31 Dec",0,0,0,-75,-13,-1,-61,0,61,495,-244,312,"31 Dec",0,0,0,-56,0,-18,-38,0,38,436,-243,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ANSVAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",125286,55712,69574,107979,8459,48395,51125,19017,-568,16182,-10099,5515,"31 Dec",140984,66641,74343,106540,8885,54727,42928,21122,10293,9394,-11751,7936,"31 Dec",140984,66641,74343,106540,8885,54727,42928,21122,10293,9394,-11751,7936
"13","ANZ LMI","30 Sep",74561,56138,18423,7415,8,8521,-1114,-14232,33769,6236,-13718,26287,"30 Sep",70513,54246,16267,-19646,1,-14860,-4787,-15286,36340,7559,-14848,29051,"30 Sep",70513,54246,16267,-19646,1,-14860,-4787,-15286,36340,7559,-14848,29051,"30 Sep",82359,36213,46146,31628,0,12191,19437,-11477,38186,9909,-11988,36107,"30 Sep",82359,36213,46146,31628,0,12191,19437,-11477,38186,9909,-11988,36107,"30 Sep",98744,15991,82753,40128,1436,17609,21083,-6450,68120,15238,-27289,56069,"30 Sep",98744,15991,82753,40128,1436,17609,21083,-6450,68120,15238,-27289,56069,"30 Sep",121445,10608,110837,32145,1759,8934,21452,-880,90265,23734,-36376,77623,"30 Sep",121445,10608,110837,32145,1759,8934,21452,-880,90265,23734,-36376,77623,"30 Sep",90901,12806,78095,-25714,-1549,-41207,17042,-342,61395,27203,-28339,60259,"30 Sep",90901,12806,78095,-25714,-1549,-41207,17042,-342,61395,27203,-28339,60259
"14","ANZCOVER","30 Sep",20668,6908,13760,12810,641,-113,12282,152,1326,8960,-3162,7124,"30 Sep",20414,6340,14074,5050,0,210,4840,158,9076,9790,-5775,13091,"30 Sep",20414,6340,14074,5050,0,210,4840,158,9076,9790,-5775,13091,"30 Sep",20414,4851,15563,19733,-15542,65,35210,464,-20111,10815,2688,-6608,"30 Sep",20414,4851,15563,19733,-15542,65,35210,464,-20111,10815,2688,-6608,"30 Sep",20414,4182,16232,-30953,900,26,-31879,253,47858,12753,-18273,42338,"30 Sep",20414,4182,16232,-30953,900,26,-31879,253,47858,12753,-18273,42338,"30 Sep",20414,4387,16027,5427,0,273,5154,202,10671,15669,-8006,18334,"30 Sep",20414,4387,16027,5427,0,273,5154,202,10671,15669,-8006,18334,"30 Sep",18646,3774,14872,118257,0,43130,75127,1427,-61682,11799,14857,-35026,"30 Sep",18646,3774,14872,118257,0,43130,75127,1427,-61682,11799,14857,-35026
"15","ASPEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",4610,227,4383,5324,0,0,5324,546,-1487,222,226,-1039,"31 Dec",4610,227,4383,5324,0,0,5324,546,-1487,222,226,-1039,"31 Dec",45210,6190,39020,42417,0,4159,38258,4495,-3733,2331,-6,-1408,"31 Dec",45210,6190,39020,42417,0,4159,38258,4495,-3733,2331,-6,-1408
"16","ASSET","31 Dec",5805,3584,2221,8094,0,6948,1146,958,117,31805,-18623,13299,"31 Dec",19677,6785,12892,6559,0,1129,5430,8982,-1520,21699,-16161,4018,"31 Dec",19677,6785,12892,6559,0,1129,5430,8982,-1520,21699,-16161,4018,"31 Dec",26595,18408,8187,19815,0,10845,8970,1556,-2339,26366,-15847,8180,"31 Dec",26595,18408,8187,19815,0,10845,8970,1556,-2339,26366,-15847,8180,"31 Dec",32002,20554,11448,36158,0,25373,10785,2323,-1660,16400,-11208,3532,"31 Dec",32002,20554,11448,36158,0,25373,10785,2323,-1660,16400,-11208,3532,"31 Dec",44086,27968,16118,43863,0,27922,15941,4845,-4668,-9319,-692,-14679,"31 Dec",44086,27968,16118,43863,0,27922,15941,4845,-4668,-9319,-692,-14679,"31 Dec",49892,29636,20256,5362,0,5858,-496,4526,16226,-142,-11030,5054,"31 Dec",49892,29636,20256,5362,0,5858,-496,4526,16226,-142,-11030,5054
"17","ATRADIUS","31 Dec",21899,17781,4118,10019,175,7747,2097,-4465,6486,1447,-13910,-5977,"31 Dec",24086,19617,4469,5770,212,4317,1241,-4562,7790,1186,-12542,-3566,"31 Dec",24086,19617,4469,5770,212,4317,1241,-4562,7790,1186,-12542,-3566,"31 Dec",29169,23552,5617,15201,1540,10513,3148,-7457,9926,1084,-12748,-1738,"31 Dec",29169,23552,5617,15201,1540,10513,3148,-7457,9926,1084,-12748,-1738,"31 Dec",40985,34092,6893,22416,801,16925,4690,-8842,11045,1507,-10080,2472,"31 Dec",40985,34092,6893,22416,801,16925,4690,-8842,11045,1507,-10080,2472,"31 Dec",42981,33166,9815,49615,1407,36699,11509,-7274,5580,4156,-12643,-2907,"31 Dec",42981,33166,9815,49615,1407,36699,11509,-7274,5580,4156,-12643,-2907,"31 Dec",33844,26280,7564,41711,1010,31260,9441,-795,-1082,1318,-10854,-10618,"31 Dec",33844,26280,7564,41711,1010,31260,9441,-795,-1082,1318,-10854,-10618
"18","AUS ALLNCE","31 Dec",330524,319184,11340,232962,0,232962,0,11340,0,1066,-320,746,"31 Dec",344517,332003,12514,287526,0,287526,0,12514,0,224,-67,157,"31 Dec",344517,332003,12514,287526,0,287526,0,12514,0,224,-67,157,"31 Dec",386797,371747,15050,319898,0,319898,0,15050,0,266,-875,-609,"30 Jun",386797,371747,15050,319898,0,319898,0,15050,0,266,-875,-609,"30 Jun",434691,415603,19088,416882,0,416882,0,19088,0,379,-114,265,"30 Jun",450923,431511,19412,387008,0,387008,0,19412,0,426,-128,298,"30 Jun",450923,431511,19412,387008,0,387008,0,19412,0,426,-128,298,"30 Jun",481220,41418,439802,429474,135392,-278112,572194,161741,-294133,9089,302439,17395,"30 Jun",481220,41418,439802,429474,135392,-278112,572194,161741,-294133,9089,302439,17395,"30 Jun",536210,53805,482405,497061,92992,67224,336845,118939,26621,17669,-13354,30936
"19","AUS FAMILY","31 Dec",71,96,-25,-1066,0,248,-1314,-69,1358,146,-958,546,"31 Dec",-8,4,-12,-106,0,46,-152,-4,144,151,-764,-469,"31 Dec",-8,4,-12,-106,0,46,-152,-4,144,151,-764,-469,"31 Dec",0,0,0,-53,0,106,-159,-1,160,-24,-169,-33,"31 Dec",0,0,0,-53,0,106,-159,-1,160,-24,-169,-33,"31 Dec",0,0,0,-469,0,-165,-304,0,304,65,-342,27,"31 Dec",0,0,0,-469,0,-165,-304,0,304,65,-342,27,"31 Dec",0,0,0,14,0,27,-13,0,13,56,-252,-183,"31 Dec",0,0,0,68,0,30,38,0,-38,56,-252,-234,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","AUS INT","30 Jun",139189,50849,88340,64118,6690,11170,46258,18490,23592,7589,-18593,12588,"30 Jun",139189,50849,88340,64118,6690,11170,46258,18490,23592,7589,-18593,12588,"30 Jun",129872,39077,90795,90752,2888,38421,49443,15165,26187,9592,-17003,18776,"30 Jun",129872,39077,90795,90752,2888,38421,49443,15165,26187,9592,-17003,18776,"30 Jun",95618,22174,73444,79877,6203,14494,59180,8306,5958,12308,-11413,6853,"30 Jun",95618,22174,73444,79877,6203,14494,59180,8306,5958,12308,-11413,6853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","AUS MED","30 Jun",111214,-6273,117487,19391,0,2927,16464,13860,87163,39878,-83709,43332,"30 Jun",111214,-6273,117487,19391,0,2927,16464,13860,87163,39878,-83709,43332,"30 Jun",118326,-18682,137008,18400,0,-25773,44173,14890,77945,41130,-42085,76990,"30 Jun",118326,-18682,137008,18400,0,-25773,44173,14890,77945,41130,-42085,76990,"30 Jun",123337,9230,114107,48862,8116,10453,30293,47790,36024,51903,-50185,37742,"30 Jun",123337,9230,114107,48862,8116,10453,30293,47790,36024,51903,-50185,37742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","AUS UNITY","30 Jun",85027,30172,54855,43852,1076,11376,31400,10796,12659,3029,-12478,3210,"30 Jun",85027,30172,54855,43852,1076,11376,31400,10796,12659,3029,-12478,3210,"30 Jun",67900,27976,39924,34182,1891,11316,20975,7382,11567,4819,-13989,2397,"30 Jun",67900,27976,39924,34182,1891,11316,20975,7382,11567,4819,-13989,2397,"30 Jun",113313,32083,81230,59413,2226,17296,39891,19866,21473,5783,-17373,9883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","AUTO GEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",86419,968,85451,77404,19013,0,58391,23892,3168,2271,-3593,1846,"30 Jun",86419,968,85451,77404,19013,0,58391,23892,3168,2271,-3593,1846,"30 Jun",112403,1646,110757,92343,23594,1136,67613,31296,11848,1394,-10555,2687,"30 Jun",112403,1646,110757,92343,23594,1136,67613,31296,11848,1394,-10555,2687,"30 Jun",135420,3163,132257,110171,27426,2492,80253,37959,14045,5932,-14394,5583,"30 Jun",135420,3163,132257,110171,27426,2492,80253,37959,14045,5932,-14394,5583,"30 Jun",160851,4728,156123,123527,28310,1744,93473,45782,16868,6262,-16553,6577,"30 Jun",160851,4728,156123,123527,28310,1744,93473,45782,16868,6262,-16553,6577,"30 Jun",188978,6672,182306,152065,34130,17239,100696,54011,27599,2123,-24480,5242
"24","AVANT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",172752,17147,155605,65384,21597,12512,31275,29813,94517,-14078,-44053,36386,"30 Jun",172752,17147,155605,65384,21597,12512,31275,29813,94517,-14078,-44053,36386,"30 Jun",169998,15509,154489,154048,25674,15711,112663,19397,22429,-22254,-20537,-20362,"30 Jun",169998,15509,154489,154048,25674,15711,112663,19397,22429,-22254,-20537,-20362,"30 Jun",164508,10827,153681,88034,20040,3783,64211,19524,69946,55049,-55319,69676
"25","AVEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",11881,261,11620,7154,480,-5,6679,6204,-1263,495,-4389,-5157,"30 Jun",17638,424,17214,5642,640,177,4825,11280,1109,199,-3590,-2282
"26","AXA","31 Dec",0,0,0,-10243,963,-3620,-7586,0,7586,2148,-364,9370,"31 Dec",0,0,0,-2623,605,-1594,-1634,0,1634,2314,-907,3041,"31 Dec",0,0,0,-2623,605,-1594,-1634,0,1634,2314,-907,3041,"31 Dec",0,0,0,5423,224,1782,3417,0,-3417,2572,-326,-1171,"31 Dec",0,0,0,5423,224,1782,3417,0,-3417,2572,-326,-1171,"31 Dec",0,0,0,2787,92,724,1971,224,-2195,2619,-277,147,"31 Dec",0,0,0,2787,92,724,1971,224,-2195,2619,-277,147,"31 Dec",0,0,0,2444,741,-223,1926,229,-2155,2249,-214,-120,"31 Dec",0,0,0,2444,741,-223,1926,229,-2155,2249,-214,-120,"31 Dec",0,0,0,786,6,2325,-1545,187,1358,1485,-258,2585,"31 Dec",0,0,0,786,6,2325,-1545,187,1358,1485,-258,2585
