"","Year","Loss"
"270",1994,1606862
"271",1992,1604833
"272",1995,1600152
"273",1997,1594839
"274",1997,1590103
"275",1997,1586570
"276",1992,1582881
"277",1993,1576328
"278",1998,1573049
"279",1992,1572710
"280",1996,1570588
"281",1991,1565066
"282",1991,1560838
"283",1997,1558509
"284",1997,1554947
"285",1998,1553702
"286",1995,1553598
"287",1998,1538178
"288",1991,1537264
"289",1991,1520162
"290",1996,1518229
"291",1997,1503897
"292",1995,1503115
"293",1997,1502477
"294",1996,1501420
"295",1997,1498895
"296",1997,1496721
"297",1997,1496072
"298",1994,1489061
"299",1995,1488727
"300",1993,1488253
"301",1989,1486443
"302",1991,1485934
"303",1989,1480847
"304",1995,1480123
"305",1995,1479475
"306",1992,1468939
"307",1996,1465832
"308",1997,1462997
"309",1989,1460026
"310",1996,1454791
"311",1995,1454584
"312",1994,1451737
"313",1996,1450267
"314",1993,1429686
"315",1992,1429244
"316",1992,1428516
"317",1995,1424375
"318",1996,1413145
"319",1994,1393618
"320",1996,1393427
"321",1991,1390495
"322",1995,1386083
"323",1992,1371264
"324",1993,1369814
"325",1993,1368007
"326",1990,1366117
"327",1995,1365096
"328",1996,1363676
"329",1996,1360045
"330",1996,1358795
"331",1991,1353626
"332",1991,1348837
"333",1990,1339965
"334",1993,1339233
"335",1995,1339127
"336",1993,1324165
"337",1994,1322883
"338",1994,1321650
"339",1991,1318185
"340",1994,1317822
"341",1988,1317227
"342",1991,1316166
"343",1995,1316137
"344",1991,1308922
"345",1995,1307195
"346",1988,1305379
"347",1991,1295513
"348",1993,1294638
"349",1991,1292545
"350",1993,1287514
"351",1991,1284317
"352",1991,1283986
"353",1992,1283289
"354",1991,1281361
"355",1990,1280028
"356",1991,1278718
"357",1995,1276105
"358",1993,1274766
"359",1992,1274229
"360",1990,1273492
"361",1991,1273284
"362",1990,1261338
"363",1993,1240288
"364",1992,1239930
"365",1992,1239581
"366",1988,1231142
"367",1992,1225921
"368",1992,1221233
"369",1989,1219936
"370",1990,1211987
"371",1991,1208123
