"","Company","Date200506","Invest200506","TotalAsset200506","ClaimReserv200506","PremLiab200506","TotalLiab200506","Equity200506","Date200512","Invest200512","TotalAsset200512","ClaimReserv200512","PremLiab200512","TotalLiab200512","Equity200512","Date200606","Invest200606","TotalAsset200606","ClaimReserv200606","PremLiab200606","TotalLiab200606","Equity200606","Date200612","Invest200612","TotalAsset200612","ClaimReserv200612","PremLiab200612","TotalLiab200612","Equity200612","Date200706","Invest200706","TotalAsset200706","ClaimReserv200706","PremLiab200706","TotalLiab200706","Equity200706","Date200712","Invest200712","TotalAsset200712","ClaimReserv200712","PremLiab200712","TotalLiab200712","Equity200712","Date200806","Invest200806","TotalAsset200806","ClaimReserv200806","PremLiab200806","TotalLiab200806","Equity200806","Date200812","Invest200812","TotalAsset200812","ClaimReserv200812","PremLiab200812","TotalLiab200812","Equity200812","Date200906","Invest200906","TotalAsset200906","ClaimReserv200906","PremLiab200906","TotalLiab200906","Equity200906","Date200912","Invest200912","TotalAsset200912","ClaimReserv200912","PremLiab200912","TotalLiab200912","Equity200912","Date201006","Invest201006","TotalAsset201006","ClaimReserv201006","PremLiab201006","TotalLiab201006","Equity201006"
"11","AMPG","31 Dec",17738,27731,235,210,1387,26344,"31 Dec",21554,29035,135,38,1578,27457,"31 Dec",21554,29035,135,38,1578,27457,"31 Dec",6588,7428,86,13,401,7027,"31 Dec",6588,7428,86,13,401,7027,"31 Dec",6572,7449,43,0,191,7258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ANSVAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",187126,332065,166474,67532,258916,73149,"31 Dec",183445,342312,163629,78210,264582,77730,"31 Dec",183445,342312,163629,78210,264582,77730
"13","ANZ LMI","30 Sep",109599,157064,3144,56682,75006,82058,"30 Sep",138016,169083,1704,38055,57974,111109,"30 Sep",138016,169083,1704,38055,57974,111109,"30 Sep",199676,245252,5292,65258,94036,151216,"30 Sep",199676,245252,5292,65258,94036,151216,"30 Sep",356657,418745,12146,99138,141460,277285,"30 Sep",356657,418745,12146,99138,141460,277285,"30 Sep",501609,573393,26315,113927,188480,384913,"30 Sep",501609,573393,26315,113927,188480,384913,"30 Sep",624884,652011,33829,71368,156839,495172,"30 Sep",624884,652011,33829,71368,156839,495172
"14","ANZCOVER","30 Sep",154887,300516,170389,14526,186952,113564,"30 Sep",170902,314110,173099,12004,187455,126655,"30 Sep",170902,314110,173099,12004,187455,126655,"30 Sep",184882,222046,57124,29160,91482,130564,"30 Sep",184882,222046,57124,29160,91482,130564,"30 Sep",216843,239083,44360,9137,66181,172902,"30 Sep",216843,239083,44360,9137,66181,172902,"30 Sep",202750,224685,17320,8663,33449,191236,"30 Sep",202750,224685,17320,8663,33449,191236,"30 Sep",216880,301169,115460,25722,144959,156210,"30 Sep",216880,301169,115460,25722,144959,156210
"15","ASPEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",41600,46504,0,5324,5843,40661,"31 Dec",41600,46504,0,5324,5843,40661,"31 Dec",89744,124659,18996,28741,55406,69253,"31 Dec",89744,124659,18996,28741,55406,69253
"16","ASSET","31 Dec",232416,261931,147961,3331,176203,85728,"31 Dec",220470,263436,127581,4462,172172,91264,"31 Dec",220470,263436,127581,4462,172172,91264,"31 Dec",181363,227198,117759,7760,150254,76944,"31 Dec",181363,227198,117759,7760,150254,76944,"31 Dec",169790,225944,115996,10418,147068,78876,"31 Dec",169790,225944,115996,10418,147068,78876,"31 Dec",139062,212382,119702,14544,153185,59197,"31 Dec",139062,212382,119702,14544,153185,59197,"31 Dec",106863,166470,87455,13215,116719,49751,"31 Dec",106863,166470,87455,13215,116719,49751
"17","ATRADIUS","31 Dec",25369,45568,11812,2346,21150,24418,"31 Dec",24778,47034,11678,3467,26509,20525,"31 Dec",24778,47034,11678,3467,26509,20525,"31 Dec",27848,59560,17791,5111,33773,25787,"31 Dec",27848,59560,17791,5111,33773,25787,"31 Dec",32699,88212,24820,10900,54953,33259,"31 Dec",32699,88212,24820,10900,54953,33259,"31 Dec",49491,133333,45800,16885,86981,46352,"31 Dec",49491,133333,45800,16885,86981,46352,"31 Dec",46806,137812,61274,13239,92078,45734,"31 Dec",46806,137812,61274,13239,92078,45734
"18","AUS ALLNCE","31 Dec",0,302678,66224,143235,284890,17788,"31 Dec",0,342856,71711,169507,324911,17945,"31 Dec",0,342856,71711,169507,324911,17945,"31 Dec",0,388393,84466,175663,364577,23816,"30 Jun",0,388393,84466,175663,364577,23816,"30 Jun",0,470196,123478,197894,445320,24876,"30 Jun",0,480716,118478,209965,455682,25034,"30 Jun",0,480716,118478,209965,455682,25034,"30 Jun",235439,519220,133096,222470,392791,126429,"30 Jun",235439,519220,133096,222470,392791,126429,"30 Jun",271362,635879,172912,254883,513514,122365
"19","AUS FAMILY","31 Dec",2514,3771,1860,0,2359,1412,"31 Dec",2282,2666,912,0,1723,943,"31 Dec",2282,2666,912,0,1723,943,"31 Dec",1473,1869,768,0,959,910,"31 Dec",1473,1869,768,0,959,910,"31 Dec",801,1105,133,0,168,937,"31 Dec",801,1105,133,0,168,937,"31 Dec",732,926,130,0,172,754,"31 Dec",732,930,184,0,227,703,"31 Dec",NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,NA,NA
"20","AUS INT","30 Jun",119767,207964,60945,65015,160843,47121,"30 Jun",119767,207964,60945,65015,160843,47121,"30 Jun",138117,250764,93099,69506,191945,58819,"30 Jun",138117,250764,93099,69506,191945,58819,"30 Jun",161014,244232,88646,83518,181292,62940,"30 Jun",161014,244232,88646,83518,181292,62940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","AUS MED","30 Jun",427769,820826,369704,31600,615736,205090,"30 Jun",427769,820826,369704,31600,615736,205090,"30 Jun",411737,762905,329049,32400,481440,281465,"30 Jun",411737,762905,329049,32400,481440,281465,"30 Jun",521469,792470,313025,36045,473263,319207,"30 Jun",521469,792470,313025,36045,473263,319207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","AUS UNITY","30 Jun",42900,93774,39126,29167,72104,21670,"30 Jun",42900,93774,39126,29167,72104,21670,"30 Jun",48774,99000,39731,25967,74968,24034,"30 Jun",48774,99000,39731,25967,74968,24034,"30 Jun",79711,150785,57204,38071,110873,39915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","AUTO GEN",NA,NA,NA,NA,NA,NA,NA,"30 Jun",NA,NA,NA,NA,NA,NA,"30 Jun",33891,77001,11375,44969,65269,11732,"30 Jun",33891,77001,11375,44969,65269,11732,"30 Jun",49944,105009,21073,56849,90090,14919,"30 Jun",49944,105009,21073,56849,90090,14919,"30 Jun",48345,133240,26131,65844,112483,20757,"30 Jun",48345,133240,26131,65844,112483,20757,"30 Jun",65820,151009,33061,76306,123675,27334,"30 Jun",65820,151009,33061,76306,123675,27334,"30 Jun",88383,184986,42777,88955,147410,37576
"24","AVANT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",655842,1028268,433616,42781,606054,422214,"30 Jun",655842,1028268,433616,42781,606054,422214,"30 Jun",586155,1014099,487392,55120,612247,401852,"30 Jun",586155,1014099,487392,55120,612247,401852,"30 Jun",676775,1056956,485410,51551,585428,471528
"25","AVEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",10421,16800,2713,6605,11648,5152,"30 Jun",7700,18180,2635,6186,12612,5568
"26","AXA","31 Dec",36777,53845,23068,0,23280,30565,"31 Dec",41807,48960,14558,0,15354,33606,"31 Dec",41807,48960,14558,0,15354,33606,"31 Dec",45233,51886,18569,0,19451,32435,"31 Dec",45233,51886,18569,0,19451,32435,"31 Dec",47729,55751,20292,0,23169,32582,"31 Dec",47729,55751,20292,0,23169,32582,"31 Dec",42922,57555,21820,0,25093,32462,"31 Dec",42922,57555,21820,0,25093,32462,"31 Dec",12233,56573,18610,0,21526,35047,"31 Dec",12233,56573,18610,0,21526,35047
"27","AXA CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",25000,34847,3,2852,5146,29701,"31 Dec",25000,34847,3,2852,5146,29701
"28","AXIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,NA,NA,"31 Dec",0,169174,4034,77774,141416,27758,"31 Dec",0,169174,4034,77774,141416,27758,"31 Dec",0,69963,22512,15955,47193,22770,"31 Dec",0,69963,22512,15955,47193,22770
"29","BARRISTERS","30 Jun",12862,13098,685,716,2001,11097,"30 Jun",12862,13098,685,716,2001,11097,"30 Jun",14731,14927,433,800,2405,12522,"30 Jun",14731,14927,433,800,2405,12522,"30 Jun",15986,16249,519,758,2704,13545,"30 Jun",15986,16249,519,758,2704,13545,"30 Jun",15520,16037,595,1051,2680,13357,"30 Jun",15520,16037,595,1051,2680,13357,"30 Jun",14392,15117,554,1084,2359,12758,"30 Jun",14392,15117,554,1084,2359,12758,"30 Jun",15665,16412,703,1009,2755,13657
"30","BERKLEY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",0,52633,0,1320,4231,48402,"31 Dec",0,52633,0,1320,4231,48402,"31 Dec",55548,87702,7539,22686,37762,49940,"31 Dec",55548,87702,7539,22686,37762,49940,"31 Dec",87550,118329,30540,24838,66566,51763,"31 Dec",87550,118329,30540,24838,66566,51763
"31","BHP MARINE","30 Jun",452272,600271,153602,68200,260845,339426,"30 Jun",452272,600271,153602,68200,260845,339426,"30 Jun",426156,595161,126300,89778,247276,347885,"30 Jun",426156,595161,126300,89778,247276,347885,"30 Jun",485879,699154,114800,105617,295589,403565,"30 Jun",485879,699154,114800,105617,295589,403565,"30 Jun",552768,1895983,1286345,130562,1487617,408366,"30 Jun",552768,1895983,1286345,130562,1487617,408366,"30 Jun",646495,1869153,1249964,30187,1358138,511015,"30 Jun",646495,1869153,1249964,30187,1358138,511015,"30 Jun",607548,1761110,1186954,10898,1219009,542099
"32","BORAL","30 Jun",20857,38030,21407,0,27815,10215,"30 Jun",20857,38030,21407,0,27815,10215,"30 Jun",22110,35984,16275,0,24890,11094,"30 Jun",22110,35984,16275,0,24890,11094,"30 Jun",16285,29431,14585,0,17688,11743,"30 Jun",16285,29431,14585,0,17688,11743,"30 Jun",16561,23324,5380,0,10785,12539,"30 Jun",16561,23324,5380,0,10785,12539,"30 Jun",13803,18849,4092,0,4639,14210,"30 Jun",13803,18849,4092,0,4639,14210,"30 Jun",14391,18366,3049,0,3799,14567
"33","BUDGET","30 Jun",30588,69360,15822,38715,59489,9871,"30 Jun",30588,69360,15822,38715,59489,9871,"30 Jun",9289,17539,3700,133,6849,10690,"30 Jun",9289,17539,3700,133,6849,10690,"30 Jun",6346,11454,93,0,428,11026,"30 Jun",6346,11454,93,0,428,11026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","CALLI","31 Dec",NA,NA,NA,NA,NA,NA,"31 Dec",45279,56868,1926,6874,12826,44042,"31 Dec",45279,56868,1926,6874,12826,44042,"31 Dec",53690,86719,14693,20946,45145,41574,"31 Dec",53690,86719,14693,20946,45145,41574,"31 Dec",63123,114717,37159,26599,73847,40870,"31 Dec",63123,114717,37159,26599,73847,40870,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","CALLI GRP","31 Dec",100237,104236,12544,0,17501,86735,"31 Dec",120811,125830,9114,0,38779,87051,"31 Dec",120811,125830,9114,0,38779,87051,"31 Dec",95025,99259,5747,0,10777,88482,"31 Dec",95025,99259,5747,0,10777,88482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","CATHOLIC","30 Jun",465361,645710,314620,75336,471494,174216,"30 Jun",465361,645710,314620,75336,471494,174216,"30 Jun",540434,734055,336482,86328,509128,224927,"30 Jun",540434,734055,336482,86328,509128,224927,"30 Jun",615521,803425,369454,83621,531391,272034,"30 Jun",615521,803425,369454,83621,531391,272034,"30 Jun",575482,785266,367509,87381,501406,283860,"30 Jun",575482,785266,367509,87381,501406,283860,"30 Jun",603398,790143,397912,92958,538265,251878,"30 Jun",603398,790143,397912,92958,538265,251878,"30 Jun",673758,848556,394312,86181,554983,293573
"37","CAVELL","31 Dec",12948,14019,3573,0,3725,10294,"31 Dec",12535,14353,4123,0,4159,10194,"31 Dec",12535,14353,4123,0,4159,10194,"31 Dec",4915,14543,3096,0,3601,10942,"31 Dec",4915,14543,3096,0,3601,10942,"31 Dec",8926,14563,2753,0,3030,11533,"31 Dec",8926,14563,2753,0,3030,11533,"31 Dec",3024,11895,0,0,322,11573,"31 Dec",3024,11895,0,0,322,11573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","CGU","30 Jun",2916250,4679860,1990184,916333,3402581,1277279,"30 Jun",2916250,4679860,1990184,916333,3402581,1277279,"30 Jun",2928762,4735110,2071436,843055,3480481,1254629,"30 Jun",2928762,4735110,2071436,843055,3480481,1254629,"30 Jun",2941481,5007201,2241794,900245,3739031,1268170,"30 Jun",2941481,5007201,2241794,900245,3739031,1268170,"30 Jun",2949550,4678984,2053384,901385,3467384,1211601,"30 Jun",2949550,4678984,2053384,901385,3467384,1211601,"30 Jun",2977107,4690470,2055471,928009,3485267,1205204,"30 Jun",2977107,4690470,2055471,928009,3485267,1205204,"30 Jun",2977579,4582238,2119892,886251,3383335,1198903
"39","CGU VACC","30 Jun",151727,174312,69704,532,110359,63953,"30 Jun",151727,174312,69704,532,110359,63953,"30 Jun",121264,138341,52061,121,97221,41120,"30 Jun",121264,138341,52061,121,97221,41120,"30 Jun",86873,105418,41817,49,89950,15468,"30 Jun",86873,105418,41817,49,89950,15468,"30 Jun",36461,76085,36458,1679,62116,13969,"30 Jun",36461,76085,36458,1679,62116,13969,"30 Jun",37081,76202,33379,1816,63112,13090,"30 Jun",37081,76202,33379,1816,63112,13090,"30 Jun",39563,70290,26329,612,56463,13827
"40","CHUBB","31 Dec",453059,668117,299811,106423,471344,196773,"31 Dec",545657,787259,369995,106551,547428,239831,"31 Dec",545657,787259,369995,106551,547428,239831,"31 Dec",590868,863216,421167,101956,600118,263098,"31 Dec",590868,863216,421167,101956,600118,263098,"31 Dec",677085,918188,452015,111933,634247,283941,"31 Dec",677085,918188,452015,111933,634247,283941,"31 Dec",839562,1072746,496948,133882,702343,370403,"31 Dec",839562,1072746,496948,133882,702343,370403,"31 Dec",878195,1174871,596548,131736,810498,364373,"31 Dec",878195,1174871,596548,131736,810498,364373
"41","CHURCH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",6572,7449,43,0,191,7258,"31 Dec",6583,7673,47,0,176,7497,"31 Dec",6583,7673,47,0,176,7497,"31 Dec",6565,7623,12,0,57,7566,"31 Dec",6565,7623,12,0,57,7566
"42","CIC","31 Dec",9776,324363,255900,58688,314722,9641,"31 Dec",10279,423953,359028,54645,413807,10146,"31 Dec",10279,423953,359028,54645,413807,10146,"31 Dec",10451,504781,438796,55404,494200,10581,"31 Dec",10451,504781,438796,55404,494200,10581,"31 Dec",11142,560134,509346,39516,548862,11272,"31 Dec",11142,560134,509346,39516,548862,11272,"31 Dec",11912,629228,566188,50998,617186,12042,"31 Dec",11912,629228,566188,50998,617186,12042,"31 Dec",12309,673262,601184,55522,656706,16556,"31 Dec",12309,673262,601184,55522,656706,16556
"43","CIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",79711,150785,57204,38071,110873,39915,NA,NA,NA,NA,NA,NA,NA,"31 Dec",107154,251861,106547,65440,201436,50425,"31 Dec",107154,251861,106547,65440,201436,50425,"31 Dec",100555,287352,142951,67169,237653,49699,"31 Dec",100555,287352,142951,67169,237653,49699
"44","CILc ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",77029,167520,66169,37223,134803,32717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","COFACE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",29487,51694,4838,19116,25896,25798,"31 Dec",29487,51694,4838,19116,25896,25798,"31 Dec",33586,53638,16244,7735,28775,24863,"31 Dec",33586,53638,16244,7735,28775,24863
"46","COL PROT","30 Jun",6911,8570,41,1137,1800,6770,"30 Jun",6911,8570,41,1137,1800,6770,"30 Jun",7324,7511,0,0,693,6818,"30 Jun",7324,7511,0,0,693,6818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","COLOGNE RE","31 Dec",191811,196207,120547,0,123120,73087,"31 Dec",197701,200567,77216,0,79104,121463,"31 Dec",197701,200567,77216,0,79104,121463,"31 Dec",205791,210162,71230,0,76936,133226,"31 Dec",205791,210162,71230,0,76936,133226,"31 Dec",132181,135501,81206,0,81283,54218,"31 Dec",132181,135501,81206,0,81283,54218,"31 Dec",145156,147981,78638,0,80845,67136,"31 Dec",145156,147981,78638,0,80845,67136,"31 Dec",141681,143213,56340,0,58535,84678,"31 Dec",141681,143213,56340,0,58535,84678
