"","LocalGov","StatDiv","ClaimNb","AccNb","KillInjNb","Pop","PopDens"
"52","Muswellbrook","D3",261,476,374,44100,0.000428
"53","Newcastle","D3",3314,5581,3209,403500,0.068973
"54","Portstephens","D3",558,963,785,106150,0.00413
"55","Scone","D3",86,264,168,27900,0.000232
"56","Singleton","D3",308,947,528,50800,0.000345
"57","Kiama","D4",255,444,293,40100,0.005163
"58","Shellharbour","D4",467,878,608,134850,0.030569
"59","Shoalhaven","D4",822,2069,1484,167700,0.001224
"60","Wingecarribee","D4",514,1335,966,83500,0.001033
"61","Wollongong","D4",3047,5423,3540,522250,0.025576
"62","Ballina","D5",298,686,531,69500,0.004728
"63","Byron","D5",220,590,464,52650,0.003088
"64","Casino","D5",182,208,161,32050,0.011675
"65","Kyogle","D5",61,285,198,28050,0.000261
"66","Lismore","D5",411,1046,759,110650,0.002852
"67","Richmondriver","D5",111,340,257,22350,0.000296
"68","Tweed","D5",381,1196,812,130100,0.003318
"69","Bellingen","D6",198,428,307,30000,0.000627
"70","Coffsharbour","D6",552,1192,923,122750,0.004259
"71","Copmanhurst","D6",28,104,110,11500,0.000122
"72","Grafton","D6",278,416,320,49650,0.020117
"73","Greatertaree","D6",703,1208,940,106400,0.000949
"74","Hastings","D6",535,1245,977,119600,0.001063
"75","Kempsey","D6",407,638,525,67200,0.000675
"76","Maclean","D6",138,351,280,32600,0.00104
"77","Nambucca","D6",193,425,367,41500,0.000925
"78","Nymboida","D6",27,132,84,8450,5.5e-05
"79","Ulmarra","D6",88,350,268,13600,0.00027
"80","Armidale","D7",318,578,396,60800,0.059329
"81","Barraba","D7",11,65,46,8300,9e-05
"82","Bingara","D7",8,71,38,6900,8.2e-05
"83","Dumaresq","D7",38,163,120,11050,8.7e-05
"84","Gleninnes","D7",53,118,69,18450,0.009015
"85","Gunnedah","D7",88,364,257,40200,0.000266
"86","Guyra","D7",49,232,149,14300,0.000108
"87","Inverell","D7",99,386,276,48000,0.000187
"88","Manilla","D7",12,65,43,9850,0.000148
"89","Moreeplains","D7",123,548,402,50900,9.5e-05
"90","Narrabri","D7",125,486,370,47300,0.00012
"91","Nundle","D7",10,69,31,3950,8.3e-05
"92","Parry","D7",77,358,271,33800,0.000258
"93","Quirindi","D7",43,171,112,16600,0.000181
"94","Severn","D7",21,249,163,9300,5.6e-05
"95","Tamworth","D7",382,755,463,100400,0.018097
"96","Tenterfield","D7",64,365,262,19750,9.2e-05
"97","Uralla","D7",61,173,125,16750,0.000174
"98","Walcha","D7",42,169,133,10750,5.7e-05
"99","Yallaroi","D7",9,89,65,11600,7.2e-05
"100","Bogan","D9",56,112,112,10950,2.5e-05
"101","Bourke","D9",44,131,127,13000,1e-05
"102","Brewarrina","D9",26,71,74,7250,1.3e-05
"103","Cobar","D9",41,150,113,17050,1.2e-05
"104","Coolah","D9",44,196,119,12900,9e-05
"105","Coonabarabran","D9",91,297,236,21750,9.7e-05
"106","Coonamble","D9",40,139,109,17450,5.5e-05
"107","Dubbo","D9",509,971,741,91650,0.00099
"108","Gilgandra","D9",47,140,109,14700,0.000114
"109","Mudgee","D9",143,474,343,44550,0.000268
"110","Narromine","D9",59,160,127,19750,0.000125
"111","Walgett","D8",70,214,177,22350,3.3e-05
"112","Warren","D9",19,72,64,11300,3.5e-05
"113","Wellington","D8",153,303,255,26900,0.000217
"114","Bathurst","D9",483,753,507,74550,0.010382
"115","Bland","D9",107,250,255,23250,9.1e-05
"116","Blayney","D9",93,200,171,18250,0.000397
"117","Cabonne","D9",135,506,428,38400,0.000213
"118","Cowra","D9",122,392,282,35200,0.000419
"119","Evans","D9",62,307,265,13700,0.000106
"120","Forbes","D9",150,205,188,33000,0.000233
"121","Greaterlithgow","D9",370,930,696,60750,0.00058
"122","Lachlan","D9",48,166,128,25000,5.6e-05
"123","Oberon","D9",73,199,142,11500,0.000132
"124","Orange","D9",656,877,577,96350,0.011212
"125","Parkes","D9",172,314,274,43250,0.000243
"126","Rylstone","D9",54,207,139,12000,0.000105
"127","Weddin","D9",34,142,111,12650,0.000124
"128","Begavalley","D10",143,636,429,67650,0.000359
"129","Bombala","D10",26,117,97,9500,8e-05
"130","Boorowa","D10",22,118,83,7700,1e-04
"131","Cooma-monaro","D10",116,339,225,28100,0.00019
"132","Crookwell","D10",70,130,91,13450,0.000124
"133","Eurobodalla","D10",243,856,557,60600,0.00059
"134","Goulburn","D10",462,616,453,65500,0.040136
"135","Gunning","D10",49,425,304,6150,9.2e-05
"136","Marden","D10",69,232,154,12350,0.00022
"137","Mulwaree","D10",157,491,403,14500,9.4e-05
"138","Queanbeyan","D10",215,655,428,66400,0.062969
"139","Snowyriver","D10",128,465,310,15650,8.6e-05
"140","Tallaganda","D10",46,238,150,7250,7.3e-05
"141","Yarrowlumla","D10",45,377,284,18200,0.000203
"142","Yass","D10",190,582,449,24100,0.000244
"143","Young","D10",90,233,130,32800,0.000408
"144","Carrathool","D11",46,141,117,10200,1.8e-05
"145","Coolamon","D11",37,116,90,12200,0.000166
"146","Cootamundra","D11",91,231,200,24600,0.000545
"147","Griffith","D11",519,514,401,64000,0.001306
"148","Gundagai","D11",111,267,227,12200,0.000166
"149","Hay","D11",44,114,89,11750,3.4e-05
"150","Junee","D11",21,119,92,16300,0.00027
"151","Leeton","D11",102,255,195,33750,0.000953
"152","Lockhart","D11",25,101,71,11250,0.000129
"153","Murrumbidgee","D11",32,85,71,7200,6.9e-05
"154","Narrandera","D11",95,201,171,22300,0.000179
"155","Temora","D11",64,138,108,19550,0.000232
"156","Tumut","D11",113,353,232,35950,0.000314
"157","Waggawagga","D11",617,1456,962,149500,0.00103
"158","Albury","D12",511,1390,978,116450,0.036569
"159","Balranald","D12",46,96,102,8800,1.4e-05
"160","Berrigan","D12",65,123,127,23100,0.000373
"161","Cohargo","D12",0,22,17,5400,4.9e-05
"162","Corona","D12",34,130,101,21000,0.000324
"163","Culcairn","D12",24,109,78,13250,0.000276
"164","Deniliquin","D12",71,185,133,23850,0.005383
"165","Holbrook","D12",97,149,165,7750,1e-04
"166","Hume","D12",30,181,152,16450,0.000285
"167","Jerilderie","D12",11,52,36,6750,6.6e-05
"168","Murray","D12",17,96,82,13050,1e-04
"169","Tumbarumba","D12",35,112,92,12050,9.3e-05
"170","Urana","D12",15,63,69,5350,5.3e-05
"171","Wakool","D12",24,130,150,14650,6.5e-05
"172","Wentworth","D12",35,174,153,21950,2.8e-05
"173","Windouran","D12",0,17,11,1450,1e-05
"174","Brokenhill","D13",912,540,505,77400,0.038558
"175","Centraldarling","D13",75,130,160,9550,6e-06
"176","Unincorporatedarea","D13",5,110,122,3650,1e-06
